,SPY
DBC,0.1255537814065336
DIA,0.9229768878951796
EMB,0.316214815526934
HYG,0.5942048312322441
INDA,0.4254613410667122
LQD,0.05891770424961099
MCHI,0.3324588061273444
QQQ,0.8617587070423962
TLT,0.0624265880512698
VGSH,0.027343303746084638
