,0
DBC,0.3556231698574051
DIA,0.9552004282509897
EMB,0.3142802305203257
HYG,0.37605758780133547
INDA,0.8401913365650157
LQD,0.1154394700548346
MCHI,0.8773039896867009
QQQ,1.1388878300274023
TLT,-0.21233033697895318
VGSH,-0.013459811508218095
