,SPY
DBC,0.35433569028046497
DIA,0.9607168614608467
EMB,0.5623298102776821
HYG,0.7708468273478487
INDA,0.6522739769964092
LQD,0.24272969379458087
MCHI,0.5765924090094704
QQQ,0.9283095965476152
TLT,-0.2498531329626863
VGSH,-0.1653581075910239
