Date,Open,High,Low,Close,Adj Close,Volume
2013-11-01,106.97000122070312,107.0,106.13999938964844,106.19000244140625,83.46894836425781,11349500
2013-11-04,106.47000122070312,106.66999816894531,106.22000122070312,106.29000091552734,83.54751586914062,4733200
2013-11-05,105.79000091552734,105.83000183105469,104.98999786376953,105.0199966430664,82.54931640625,8753400
2013-11-06,104.94000244140625,105.13999938964844,104.69000244140625,105.06999969482422,82.5886001586914,5643000
2013-11-07,105.05000305175781,106.05000305175781,104.97000122070312,105.95999908447266,83.2881851196289,7893700
2013-11-08,103.97000122070312,104.11000061035156,103.38999938964844,103.41000366210938,81.2837905883789,16889900
2013-11-11,103.52999877929688,103.58000183105469,102.95999908447266,103.0199966430664,80.97723388671875,4927200
2013-11-12,103.20999908447266,103.58999633789062,103.18000030517578,103.5,81.35452270507812,4839500
2013-11-13,103.87000274658203,104.04000091552734,103.73999786376953,103.87999725341797,81.65322875976562,5782900
2013-11-14,104.30999755859375,105.12000274658203,104.1500015258789,104.5199966430664,82.15626525878906,8895500
2013-11-15,104.66000366210938,104.73999786376953,104.30999755859375,104.7300033569336,82.32133483886719,6344800
2013-11-18,104.6500015258789,105.41000366210938,104.6500015258789,105.36000061035156,82.81653594970703,5451300
2013-11-19,104.94999694824219,105.13999938964844,104.41000366210938,104.55999755859375,82.18777465820312,7251100
2013-11-20,104.41999816894531,104.83999633789062,102.6500015258789,102.77999877929688,80.7885971069336,14190900
2013-11-21,102.51000213623047,103.19000244140625,102.16000366210938,102.94999694824219,80.92221069335938,8903000
2013-11-22,103.48999786376953,104.12999725341797,103.4800033569336,103.91000366210938,81.67677307128906,7950700
2013-11-25,103.83999633789062,104.41999816894531,103.83999633789062,104.20999908447266,81.9126205444336,3755500
2013-11-26,104.48999786376953,104.93000030517578,104.4800033569336,104.5999984741211,82.21917724609375,6659200
2013-11-27,104.68000030517578,104.69999694824219,103.95999908447266,104.41999816894531,82.07769012451172,6063000
2013-11-29,104.08000183105469,104.5999984741211,103.94999694824219,104.44999694824219,82.10130310058594,5084400
2013-12-02,103.80000305175781,103.91000366210938,103.22000122070312,103.33000183105469,81.46263885498047,7527800
2013-12-03,103.69999694824219,103.95999908447266,103.45999908447266,103.70999908447266,81.76225280761719,5076900
2013-12-04,102.75,103.05000305175781,102.37999725341797,102.72000122070312,80.98174285888672,8502700
2013-12-05,102.4800033569336,102.8499984741211,102.22000122070312,102.43000030517578,80.75314331054688,7445700
2013-12-06,102.55999755859375,102.98999786376953,102.36000061035156,102.91999816894531,81.1394271850586,7352000
2013-12-09,102.9000015258789,103.2300033569336,102.83000183105469,103.16000366210938,81.32865905761719,5678800
2013-12-10,103.83999633789062,103.94999694824219,103.44999694824219,103.9000015258789,81.91205596923828,7040400
2013-12-11,103.55000305175781,103.7699966430664,103.0199966430664,103.0999984741211,81.28136444091797,8190900
2013-12-12,103.02999877929688,103.16000366210938,102.62999725341797,102.70999908447266,80.9738998413086,6208600
2013-12-13,103.13999938964844,103.30000305175781,102.79000091552734,103.20999908447266,81.36803436279297,6471300
2013-12-16,103.58000183105469,103.69000244140625,102.7300033569336,102.83000183105469,81.0684814453125,6376400
2013-12-17,102.61000061035156,103.4000015258789,102.58999633789062,103.29000091552734,81.43112182617188,6014400
2013-12-18,102.83000183105469,103.72000122070312,102.45999908447266,102.7699966430664,81.02118682861328,12973200
2013-12-19,102.86000061035156,103.01000213623047,102.44999694824219,102.66999816894531,80.94233703613281,6708400
2013-12-20,103.72000122070312,104.29000091552734,103.30000305175781,104.25,82.18798828125,12425700
2013-12-23,104.05000305175781,104.41000366210938,103.66000366210938,103.66000366210938,81.72289276123047,6378600
2013-12-24,103.2300033569336,103.3499984741211,102.80000305175781,102.83000183105469,81.0684814453125,4897000
2013-12-26,102.3499984741211,102.36000061035156,102.01000213623047,102.0999984741211,80.75605773925781,4645300
2013-12-27,102.06999969482422,102.30999755859375,101.69000244140625,101.80999755859375,80.52667236328125,4755000
2013-12-30,102.1500015258789,102.58000183105469,102.08000183105469,102.51000213623047,81.0803451538086,4491700
2013-12-31,102.29000091552734,102.55000305175781,101.16999816894531,101.86000061035156,80.56625366210938,7218600
2014-01-02,101.72000122070312,102.38999938964844,101.69000244140625,102.16999816894531,80.8114242553711,8580800
2014-01-03,101.80999755859375,102.44999694824219,101.76000213623047,102.16999816894531,80.8114242553711,4083800
2014-01-06,102.37999725341797,103.0,102.37000274658203,102.5999984741211,81.15156555175781,7796200
2014-01-07,102.81999969482422,102.98999786376953,102.55999755859375,102.86000061035156,81.3572006225586,4428100
